Area,Bathroom,Price
800,2,6500000
750,2,5000000
950,2,15500000
600,2,4200000
650,2,6200000
1300,3,15500000
1350,3,10000000
650,2,4000000
985,3,6800000
1300,4,15000000
1100,2,6200000
870,2,7700000
630,2,5500000
660,2,5000000
344.4448,2,3310000
660,2,4700000
550,2,4500000
1100,3,17000000
1150,3,25000000
650,2,6000000
850,2,11000000
900,2,4500000
430.556,1,5300000
900,2,10500000
914.9315,2,12000000
1100,3,7000000
800,2,7000000
500,1,3400000
28,2,5000000
2160,4,21000000
1500,,13500000
800,2,15000000
900,2,10500000
1080,2,22500000
750,2,13600000
1450,3,30000000
900,2,13500000
810,2,8910000
1350,4,25000000
1710,3,26000000
1650,3,30000000
1280,2,12500000
1260,3,21000000
1130,2,7800000
600,2,11500000
850,2,11500000
1500,3,26000000
900,2,13000000
1000,3,22000000
900,2,15800000
2925,4,57500000
900,2,10000000
1600,3,30000000
1143,3,22000000
1150,3,24000000
1500,3,31500000
850,2,14600000
8000,5,240000000
890,2,8300000
1100,3,22500000
750,1,4600000
850,1,1900000
1350,2,5130000
1387,4,5890000
1050,2,3700000
1500,2,17400000
1200,3,15500000
700,1,2400000
1700,2,17200000
1550,2,14200000
1400,3,13500000
1900,4,30000000
2160,3,21000000
1700,3,20500000
1850,4,24000000
1800,2,16500000
1620,2,14900000
1800,3,19200000
1540,3,14500000
1600,3,15600000
1400,2,11400000
2300,4,31500000
1560,2,15800000
1500,3,16000000
1540,3,14500000
1050,2,10500000
1800,2,14800000
400,1,1850000
1150,2,6800000
1525,3,14200000
900,1,8900000
1450,3,37500000
1450,3,30000000
1260,3,21000000
2925,4,57500000
1710,3,30000000
1600,3,30000000
1500,3,31500000
2200,3,30000000
1350,3,41500000
1710,3,24800000
1350,3,35000000
1500,3,40000000
2880,5,46000000
2700,4,55000000
1400,3,24500000
1800,3,24500000
1400,3,32500000
1000,2,20000000
8000,5,240000000
1000,2,20000000
1700,3,19000000
1600,3,26000000
1350,3,21000000
1700,3,27500000
1400,3,32500000
1450,3,45000000
1350,3,21000000
1700,3,28000000
1600,3,29500000
1500,,13500000
800,2,14000000
1710,3,26000000
1350,2,12500000
1500,3,26000000
750,2,11500000
850,2,14600000
1575,3,25500000
1675,3,31000000
1350,3,22000000
900,2,13400000
1800,3,35000000
900,2,11000000
900,2,6300000
900,2,12500000
800,2,14500000
1100,3,22500000
810,2,15500000
1500,3,26000000
900,2,15800000
825,2,15000000
900,2,13000000
875,2,15000000
1350,3,25000000
750,2,16500000
900,2,10300000
1350,3,26000000
900,2,11000000
1800,3,28500000
900,2,11000000
900,1,11000000
810,2,4500000
450,1,3600000
100,2,4300000
900,2,4000000
500,2,1650000
450,1,2000000
75,2,3000000
270,1,1400000
500,1,2000000
444,2,2000000
400,1,2000000
729,4,2600000
4050,3,5100000
2400,4,6000000
450,2,4000000
405,3,6200000
666,2,3500000
1000,2,7600000
1360,3,13500000
1550,3,12500000
850,2,6500000
2170,4,22000000
720,2,6000000
850,2,7300000
950,2,7600000
2300,4,20000000
1300,4,15000000
1100,2,6200000
1030,2,6200000
350,1,2300000
750,2,5000000
720,2,4700000
800,2,5500000
350,1,2000000
980,2,7300000
1600,3,13000000
1450,3,11500000
445,2,2800000
380,1,2200000
680,2,4400000
1600,3,13500000
630,2,4100000
1500,2,12000000
550,2,3500000
2500,3,15000000
2800,4,17500000
300,1,1900000
800,2,5500000
1295,2,10000000
700,2,4700000
350,1,2400000
450,2,3800000
2200,4,23000000
2300,4,24500000
1150,2,10000000
800,2,5500000
850,2,7000000
720,2,6500000
4688,4,135000000
750,2,5000000
3901,4,93000000
950,2,4370000
1000,2,4620000
850,1,1900000
2400,4,70000000
1350,2,5130000
540,2,3000000
1387,4,5890000
540,2,3300000
976,2,24900000
1050,2,3700000
2700,3,60000000
1500,2,17400000
2900,5,51000000
5025,6,170000000
1000,2,5510000
1135,3,25000000
2306,3,57000000
850,2,2940000
1200,3,15500000
1700,2,17200000
1800,3,55000000
1100,2,15000000
22050,4,51000000
1550,3,13000000
1600,3,30000000
700,2,2400000
45,3,5500000
3510,4,45000000
4500,4,60000000
1800,4,65000000
6000,5,220000000
4300,4,60000000
1700,3,38500000
2500,3,50000000
4500,4,75000000
2450,4,70000000
10350,7,160000000
4800,4,85000000
1600,3,40000000
3500,4,90000000
2100,5,56000000
4200,5,135500000
1500,3,60000000
8150,5,170000000
2200,4,50000000
3500,5,58000000
2070,3,37500000
3500,3,45000000
2000,4,70000000
2800,4,29500000
2550,4,60000000
4500,4,70000000
1400,3,50000000
2800,5,75000000
2700,4,52500000
4500,4,55000000
7200,4,120000000
2799,4,65000000
2650,4,75000000
2200,4,47500000
3500,5,70000000
2200,4,47500000
2200,4,40000000
3500,4,85000000
1440,3,26000000
3150,4,35000000
900,2,20000000
3690,5,79000000
1200,2,17000000
4500,4,47500000
2799,4,43000000
1350,3,26000000
1200,3,25000000
2177,5,51000000
1500,3,40000000
1600,3,22500000
4500,4,70000000
2150,4,45000000
2107,4,51100000
1150,3,25500000
1240,3,26500000
1000,2,15000000
4500,4,55000000
1150,3,26000000
2000,4,38000000
4500,5,72500000
3000,5,65000000
700,2,4600000
750,2,9200000
1350,3,9500000
900,2,4500000
970,2,6500000
1000,2,5650000
1425,3,9300000
440,2,2700000
1017,2,6500000
650,2,5800000
950,2,5500000
810,2,6000000
750,2,4500000
990,2,4100000
800,2,3800000
675,1,3300000
558,1,2900000
445,1,2000000
360,1,1550000
1350,3,11300000
850,2,4500000
846,1,3300000
1300,3,11500000
900,2,6000000
1050,2,9000000
850,2,4500000
1650,3,14000000
1150,2,7300000
495.1394,1,1900000
1053,2,7000000
810,2,6000000
750,2,6400000
540,1,2700000
747,2,6500000
720,1,4000000
376.7365,1,3000000
1125,2,5000000
713,2,6000000
360,1,2500000
900,2,6500000
713,1,8000000
504,1,2700000
70,2,4500000
850,2,5700000
2430,3,25000000
2475,3,70000000
2970,4,26500000
2250,2,18500000
1500,3,30000000
1512,2,22000000
400,2,9000000
2160,3,65000000
630,2,22500000
324,3,8700000
720,5,22000000
675,2,18500000
700,1,16000000
675,3,16000000
720,2,9000000
850,2,4500000
801,2,6000000
450,2,2700000
1000,2,6500000
990,2,4000000
420,1,2600000
450,1,3500000
1000,2,7500000
900,2,7000000
800,2,4500000
720,3,5500000
450,1,2700000
675,2,2400000
1700,3,11500000
550,2,3600000
387,2,1700000
450,1,2500000
900,2,6600000
500,1,3700000
441,1,3500000
800,2,5400000
450,2,2550000
1000,3,12500000
715,2,5600000
600,2,7000000
540,1,3500000
312,4,35000000
810,2,9000000
270,1,2300000
900,2,6000000
1000,2,6000000
540,2,2650000
950,2,4370000
1000,2,4620000
540,2,3000000
540,2,3300000
1000,2,5510000
500,2,3200000
540,2,2600000
780,2,4000000
450,1,1850000
360,1,1700000
900,2,2800000
495,2,2150000
1200,3,6800000
1000,2,6200000
620,2,3100000
680,2,3400000
805,2,4000000
729,2,4800000
540,2,2500000
360,1,2000000
550,2,1900000
1001,2,5800000
450,2,2900000
550,1,2000000
550,2,2600000
675,1,2900000
585,2,3200000
810,2,5400000
765,2,3800000
4688,4,135000000
3901,4,93000000
70,3,8200000
800,2,8000000
900,2,9500000
1680,5,20000000
900,2,7400000
2000,3,37500000
2000,4,15000000
1900,3,55300000
1530,3,26500000
100,2,16000000
900,2,10400000
270,1,1700000
950,2,8000000
1800,3,27000000
1500,3,19500000
1800,3,50000000
1800,3,21100000
2306,3,57000000
850,3,5900000
140,2,12000000
900,2,12000000
1800,3,24000000
200,1,7000000
1782,3,15000000
900,2,1500000
405,1,3950000
1500,3,12500000
66,1,1600000
2000,4,36500000
1200,2,20000000
1100,2,15000000
1400,2,25000000
1600,2,18500000
1600,3,23500000
600,1,8000000
1600,2,23000000
2000,3,31000000
650,2,7400000
1100,2,15500000
1075,2,12000000
1450,2,23500000
1200,2,25000000
600,2,7000000
1000,2,17500000
1600,2,25000000
1750,4,29000000
1300,3,21900000
550,2,7500000
2200,3,23500000
1100,2,24000000
1700,2,31000000
1100,2,16500000
1000,2,5000000
1350,2,24000000
1184,2,17000000
2000,2,40000000
3500,4,22500000
900,3,20000000
4688,4,135000000
750,2,5000000
3901,4,93000000
950,2,4370000
1000,2,4620000
850,1,1900000
2400,4,70000000
1350,2,5130000
540,2,3000000
1387,4,5890000
540,2,3300000
976,2,24900000
1050,2,3700000
2700,3,60000000
1500,2,17400000
2900,5,51000000
5025,6,170000000
1000,2,5510000
1135,3,25000000
2306,3,57000000
850,2,2940000
1200,3,15500000
1700,2,17200000
1800,3,55000000
1100,2,15000000
22050,4,51000000
1550,3,13000000
1600,3,30000000
700,2,2400000
45,3,5500000
450,2,2900000
540,2,17000000
1350,3,25000000
2250,2,10000000
1250,1,7500000
504,1,3600000
65,2,35000000
450,1,6000000
1800,2,17500000
1800,3,35000000
1530,2,10200000
1750,4,29000000
2210,3,41000000
760,2,6000000
400,1,2500000
380,1,2200000
904.1676,2,21500000
900,1,15000000
810,6,28900000
100,2,5500000
50,1,1950000
58,1,3800000
900,1,6200000
1650,3,14000000
1000,2,7500000
852,2,2670000
700,2,2500000
990,2,4000000
450,1,3500000
1000,2,5000000
1700,3,29500000
1350,2,19000000
2100,3,25500000
2600,4,75000000
3000,5,75000000
1450,3,34000000
2050,4,47500000
3000,5,75000000
1800,3,23000000
900,2,24000000
1500,2,21500000
1500,2,28500000
1800,4,12500000
1674,3,45000000
2025,3,30500000
1300,3,22500000
990,3,28000000
2100,4,25000000
2250,4,33700000
1500,3,27000000
2700,4,43500000
1700,3,29000000
1700,3,30000000
2050,4,52100000
1800,3,32500000
1500,2,20500000
2000,3,25000000
1500,3,30000000
24300,5,51000000
2475,4,31000000
1800,3,37500000
1300,3,32500000
1500,3,37500000
2100,4,55000000
1800,4,87500000
1100,2,16300000
2035,4,65000000
1100,3,25000000
1550,3,38000000
700,2,15000000
150,1,2000000
540,1,3000000
810,2,8500000
3250,4,55000000
1600,3,22500000
4000,4,72500000
5500,7,160000000
900,3,12500000
972,2,17000000
4150,4,82500000
2250,5,55000000
1650,3,35000000
2610,4,42500000
600,2,4700000
1700,5,52500000
2250,4,80000000
880,2,11000000
4200,5,74000000
1450,3,37500000
2200,4,52500000
1620,3,26000000
1078,2,15500000
1710,3,22000000
1150,3,21000000
450,2,5000000
1818,3,22000000
1800,2,26500000
780,2,8770000
405,1,4500000
900,3,8500000
807.2925,2,8600000
2700,3,42500000
1100,2,13100000
585,2,7000000
2152.78,3,30000000
960,2,13000000
1800,3,23100000
1100,2,16000000
900,2,12500000
1620,3,24500000
378,1,3200000
800,2,6300000
1350,3,15000000
850,3,5700000
1580,2,21000000
820,3,7500000
594,1,6500000
14220,3,27500000
800,2,12000000
1500,2,18000000
1600,3,15600000
1650,3,15500000
1600,3,15200000
1900,3,25000000
1400,2,15000000
1550,2,15800000
2000,3,31500000
1500,3,14000000
1550,2,13200000
1600,2,15800000
1600,3,16200000
1800,2,15500000
1470,2,14500000
1500,2,14900000
1750,3,17200000
1650,3,18000000
1850,2,15500000
1480,2,15800000
1214,2,12600000
1380,2,15000000
1600,2,19500000
1585,3,16600000
1700,3,17200000
1200,2,13000000
1800,3,16500000
1000,2,10700000
1500,2,16200000
1700,2,16500000
1750,2,14900000
2700,3,27500000
3050,6,62500000
3405,5,70000000
1500,3,35500000
2105,3,42100000
2500,5,42500000
2090,4,44000000
2525,5,43200000
2500,4,52500000
2100,4,34300000
2022,3,38000000
2650,5,52500000
1850,3,37500000
2100,3,37000000
1700,4,40000000
2105,3,36200000
1250,3,29000000
2552,5,42500000
3112,6,60000000
2125,3,36500000
2065,4,42500000
3405,4,71500000
3050,5,65000000
2300,6,58000000
1455,2,27500000
3400,5,70000000
3100,5,65000000
1400,3,28600000
2126,3,39000000
1815,3,32500000
1700,3,34000000
700,2,16500000
980,2,13800000
1350,3,21000000
1800,3,22500000
968.751,2,15000000
1250,3,20000000
1800,3,20000000
1400,2,26000000
1000,3,19500000
1800,2,21500000
1500,3,26500000
1600,3,20000000
1400,3,18000000
1400,2,19000000
2700,4,36500000
1100,2,15000000
1200,2,17500000
1400,2,14000000
1500,3,21000000
1320,2,15600000
1300,3,19000000
1150,2,16500000
1440,3,19000000
1400,2,16500000
450,1,3000000
1300,2,15000000
1200,2,14300000
1300,2,18500000
1400,3,19000000
1400,3,19000000
1500,2,13500000
1600,2,15800000
1200,4,17000000
1600,2,15500000
1250,2,16000000
950,2,12900000
1200,3,13500000
1400,2,17800000
950,2,13200000
1350,3,14000000
1550,2,17500000
1300,2,17000000
1000,2,13000000
1500,3,17000000
950,2,12700000
1200,2,13500000
1400,2,17400000
1500,2,17800000
1050,2,12700000
1550,2,16200000
950,2,11100000
1150,2,13600000
1150,2,13100000
1150,2,12500000
1500,2,13600000
1800,4,12000000
1300,3,20000000
1150,2,13500000
1500,2,14000000
1150,2,10800000
900,2,9000000
1150,2,6300000
1000,3,5500000
450,1,2350000
1350,3,8500000
445,2,1650000
1200,2,10000000
50,1,1500000
1100,2,2800000
700,2,2600000
500,1,2350000
540,1,2350000
450,1,2000000
800,2,5000000
700,2,3500000
750,2,4500000
750,2,4000000
1600,3,10800000
1000,2,10000000
1600,3,10800000
900,2,9000000
1700,3,8500000
1100,2,6000000
1000,3,5500000
1000,2,7000000
1100,2,6000000
765,2,3700000
900,2,3100000
600,2,4500000
360,1,1500000
950,2,7090000
3600,2,4500000
1305,3,5500000
1800,4,63000000
950,2,6990000
800,2,4400000
1800,4,12500000
800,2,3000000
675,2,2800000
1175,3,5000000
1500,3,6000000
810,2,4500000
630,2,2800000
650,2,2500000
1800,4,8500000
725,2,3000000
900,2,4900000
750,2,3500000
700,2,3000000
950,2,7020000
1600,4,60000000
900,2,3500000
1500,3,7000000
500,1,7000000
1035,3,4500000
825,2,5990000
1300,3,4400000
765,2,2500000
580,1,1600000
1750,3,6500000
650,2,2750000
405,1,1500000
675,1,2200000
850,2,2800000
800,3,4500000
405,1,1800000
1350,3,8500000
1350,3,8500000
450,1,1700000
1300,3,7000000
1050,2,5600000
1675,3,13500000
1250,3,8500000
1080,3,6000000
1170,3,7200000
1250,2,6500000
1500,3,8400000
1350,3,8500000
855,2,4000000
540,1,1700000
1044.0983,2,6000000
405,1,1600000
500,2,2100000
450,1,1700000
405,1,1500000
405,1,1200000
450,1,1650000
173,2,3500000
1100,2,8500000
600,2,3200000
800,2,4400000
990,3,7200000
1100,2,7500000
1100,2,6500000
527,2,3500000
1000,2,6500000
1000,2,6200000
450,1,2500000
600,2,3000000
950,2,6000000
855,2,4800000
770,2,3790000
810,2,4200000
710,2,2900000
950,2,5000000
450,1,2100000
500,2,3200000
600,1,3000000
420,1,2300000
900,2,5900000
945,2,5500000
565,2,3500000
450,1,1700000
430,1,1850000
550,2,2300000
810,2,3800000
720,2,4500000
360,1,2200000
820,2,5200000
459,2,2200000
378,2,1500000
450,1,2200000
900,2,3800000
360,1,1800000
559.7228,2,2850000
350,1,2500000
365,1,3500000
390,1,2000000
350,1,3000000
210,1,2000000
50,1,3500000
500,1,1800000
350,1,1600000
379,1,1600000
236.8058,1,2000000
445,1,1500000
452.0838,1,3000000
350,1,1490000
437,1,3500000
61,3,4000000
495,2,1750000
900,2,4600000
350,1,1800000
585,2,1900000
198,1,1000000
4900,1,1000000
2077.4327,1,1000000
50,1,3500000
990,2,5000000
425,1,2200000
750,2,13000000
1400,3,34000000
3600,4,60000000
3000,5,74500000
2750,5,75000000
2050,4,62500000
3000,4,67000000
850,2,8500000
750,2,11500000
2600,5,52500000
800,2,12000000
550,2,10700000
700,2,9000000
2316,4,100000000
900,2,6200000
100,2,17000000
900,3,12500000
1500,2,13000000
650,2,4200000
2000,4,36000000
500,1,2300000
1125,2,8100000
1300,3,10000000
2500,5,62500000
2200,5,65000000
1290,2,20000000
2250,4,57500000
1350,3,30000000
1400,3,30000000
1700,3,30000000
450,1,3300000
750,1,7350000
1500,1,12500000
400,1,3500000
650,2,6500000
900,2,6900000
400,1,3600000
900,2,13500000
1000,2,9200000
405,1,2500000
1700,2,17000000
800,2,9030000
1076.39,2,9300000
750,1,6500000
460,1,3300000
370,1,2400000
1800,3,15000000
1080,1,7000000
350,1,4200000
500,1,5800000
900,2,4800000
800,2,7500000
350,1,3000000
430.556,1,4300000
500,1,2600000
1450,2,7000000
800,2,6000000
1000,2,6700000
1000,3,9500000
1600,2,17000000
900,2,8000000
1500,3,12000000
1050,2,9000000
1300,2,11500000
1600,3,20000000
900,2,8550000
1350,4,10500000
1000,2,12000000
1400,2,11000000
975,2,12000000
900,2,9000000
1100,2,10000000
950,2,8100000
1300,3,9200000
1459,3,14200000
1000,2,7500000
1100,2,9500000
1450,2,14000000
1450,3,11600000
1150,3,12000000
780,2,7500000
1300,2,9800000
1350,3,12000000
1200,2,12500000
1460,3,16500000
1460,3,12000000
1100,2,7200000
1500,3,15000000
1050,2,10000000
1350,3,11000000
1500,2,24700000
976,2,24900000
540,1,3600000
450,1,1700000
900,2,11000000
2500,4,75000000
979.5149,2,24800000
945,2,24900000
976,2,24900000
1531,2,25900000
1000,2,11700000
750,2,13500000
900,2,5500000
1512,2,30000000
35,2,4950000
1500,2,16000000
2907,4,30000000
2210,3,41000000
750,2,3800000
2518.7526,5,68900000
588,2,1800000
540,1,1500000
1100,3,12500000
550,1,1600000
750,2,2400000
1260,2,7000000
675,2,3100000
810,2,14500000
3150,5,61500000
2000,4,27500000
1775,3,25500000
1135,3,25000000
1252,2,18500000
2000,4,39700000
530,1,6800000
1332,2,6540000
1017,3,22000000
1775,3,25500000
987,2,17000000
1912,3,27500000
5236,7,73700000
2805,4,52300000
1500,3,16000000
1280,3,15000000
1775,3,25500000
675,2,10000000
576,2,5000000
1206,3,20000000
1143,2,16000000
345,1,5500000
720,1,7000000
468,2,4100000
1600,3,24000000
950,2,12500000
535,1,3900000
1200,2,14500000
1501,2,20000000
1135,3,24500000
1200,2,20900000
2200,3,43100000
1240,3,18000000
3002,5,50000000
1350,2,18500000
2300,5,46500000
1429,3,17500000
2430,5,42500000
1450,3,15500000
1250,2,15000000
2800,4,40000000
1646,3,20000000
900,2,6700000
1250,2,16000000
900,2,8000000
1590,2,25000000
990,2,25000000
2282,5,37500000
1260,3,25000000
1457,3,23000000
1400,2,17500000
2175,4,44000000
1450,3,15000000
2800,5,42500000
861.112,2,5000000
2282,5,38000000
1753,3,19000000
2659,5,43500000
1550,2,19500000
1470,2,14200000
702,2,14200000
1138,2,13500000
1600,3,21000000
1600,3,22500000
1250,4,19000000
810,2,7500000
585,2,4000000
1700,3,8000000
1800,4,19000000
600,1,7000000
1250,3,5800000
600,2,8000000
1600,4,18800000
1100,2,6000000
450,1,2200000
855,2,6500000
1291.668,2,23500000
1300,2,16000000
1350,3,20000000
900,2,5500000
850,2,13500000
1650,3,22500000
650,2,3800000
630,2,4600000
1250,1,17500000
1800,3,5500000
1500,3,22500000
1100,2,12500000
1400,2,19000000
1300,2,15500000
1100,2,13500000
1600,3,21000000
2250,4,50000000
2592,3,42500000
1800,4,45500000
1700,3,23000000
1640,3,12000000
2572,3,35000000
2100,3,25000000
1620,3,29000000
2500,4,80000000
2250,3,20500000
2445,4,52500000
2250,4,37500000
800,2,7500000
1450,3,32500000
1440,3,24500000
5220,5,65000000
1800,3,27500000
4455,5,115000000
195,3,28000000
807.2925,1,8000000
3500,4,75100000
1000,2,7800000
900,2,15000000
1800,3,27500000
17010,3,25000000
2340,4,26000000
1350,3,23500000
464,1,4200000
954,2,10000000
1155,2,18500000
700,2,16500000
980,2,13800000
1350,3,21000000
1800,3,22500000
968.751,2,15000000
1250,3,20000000
1800,3,20000000
1400,2,26000000
1000,3,19500000
1800,2,21500000
1500,3,26500000
1600,3,20000000
1400,3,18000000
1400,2,19000000
2700,4,36500000
1100,2,15000000
1200,2,17500000
1400,2,14000000
1500,3,21000000
1320,2,15600000
1300,3,19000000
1150,2,16500000
1440,3,19000000
1400,2,16500000
450,1,3000000
1300,2,15000000
1200,2,14300000
1300,2,18500000
1400,3,19000000
1400,3,19000000
500,2,3300000
700,2,3800000
900,3,7000000
1260,3,16500000
950,2,8000000
405,1,5600000
1800,2,21000000
1300,3,21000000
1000,3,8600000
900,2,6600000
1800,3,14000000
720,2,4700000
1485,3,30000000
1600,3,26000000
1200,2,18500000
900,2,6500000
900,2,15000000
800,2,8000000
1150,3,16100000
900,3,6800000
1070,2,6800000
1050,2,9000000
1000,2,18000000
1550,3,27500000
1300,2,13500000
810,2,14000000
900,2,9000000
1200,2,16000000
1000,3,11000000
720,2,5500000
2520,3,47500000
1700,4,45000000
1800,3,43500000
6000,5,180000000
1800,4,80000000
2000,3,37500000
2066,4,60000000
2050,3,71000000
1100,3,18500000
4500,4,70000000
4500,5,85000000
6500,5,190000000
4350,6,135000000
1750,3,35000000
3600,4,65000000
1200,2,27500000
1500,4,45000000
2250,4,100000000
1800,4,47000000
1600,4,27500000
2800,5,70000000
1700,3,36500000
2400,5,65000000
1980,4,35000000
2100,5,56000000
5400,4,110000000
1250,3,24000000
2300,4,102500000
2700,4,100000000
1450,3,45000000
2097,3,29000000
1250,3,25500000
1600,3,33500000
2600,5,62500000
1700,3,47500000
1116,3,14700000
1070,3,18000000
1200,3,22500000
1200,3,22000000
1200,3,22200000
1450,3,22500000
1000,2,7500000
2430,4,30000000
945,1,6500000
1650,3,35000000
1350,2,17500000
2625,5,60000000
1800,4,40000000
125,3,11500000
1440,3,22500000
1900,4,28500000
1800,3,29000000
1200,2,15500000
1800,3,26000000
1200,3,16500000
4118,5,55000000
1050,2,12500000
875,3,17500000
990,2,11500000
11050,3,18500000
